Age,LastTransaction,Churn,Gender_female,Gender_male,Payment Method_cash,Payment Method_cheque,Payment Method_credit card
82.0,161,0,True,False,False,False,True
23.0,73,1,True,False,False,False,True
19.0,108,1,False,True,False,True,False
68.0,142,0,False,True,True,False,False
42.0,96,1,False,True,False,False,True
39.0,83,1,False,True,False,False,True
73.0,85,1,False,True,False,True,False
50.0,101,1,False,True,False,False,True
22.0,91,1,False,True,True,False,False
20.0,109,1,False,True,False,False,True
47.0,167,1,False,True,False,True,False
40.0,161,0,True,False,False,False,True
23.0,115,1,False,True,False,False,True
21.0,56,1,True,False,False,False,True
64.0,69,1,False,True,False,False,True
39.0,180,1,False,True,True,False,False
80.0,102,1,False,True,False,False,True
47.0,180,0,True,False,False,False,True
85.0,166,0,False,True,True,False,False
69.0,113,0,True,False,False,False,True
18.0,58,1,False,True,False,False,True
18.0,95,1,False,True,False,False,True
40.0,133,0,True,False,False,False,True
90.0,133,1,False,True,False,False,True
22.0,135,0,True,False,True,False,False
36.0,107,0,True,False,True,False,False
51.0,153,0,True,False,False,False,True
63.0,152,0,False,True,True,False,False
22.0,50,1,False,True,True,False,False
33.0,190,0,True,False,True,False,False
24.0,108,1,False,True,False,False,True
44.0,193,1,False,True,True,False,False
55.0,98,1,False,True,False,False,True
60.0,126,1,False,True,False,False,True
21.0,83,1,True,False,False,False,True
56.0,176,0,True,False,False,False,True
33.0,142,1,True,False,True,False,False
56.0,164,0,False,True,True,False,False
61.0,108,1,False,True,False,False,True
91.0,158,1,False,True,False,False,True
44.0,129,0,True,False,False,False,True
54.0,59,0,True,False,False,False,True
55.0,121,1,False,True,True,False,False
20.0,160,1,False,True,True,False,False
41.0,80,1,False,True,False,False,True
30.0,70,1,False,True,False,False,True
22.0,140,1,False,True,False,True,False
17.0,115,0,True,False,False,False,True
66.0,106,1,False,True,False,False,True
74.0,175,0,True,False,False,False,True
49.0,166,0,True,False,False,False,True
43.0,122,1,False,True,True,False,False
75.0,195,1,False,True,True,False,False
52.0,139,1,False,True,True,False,False
76.0,165,1,False,True,False,False,True
80.0,48,1,True,False,False,False,True
41.0,159,1,False,True,True,False,False
65.0,155,1,False,True,True,False,False
51.0,38,0,True,False,False,False,True
28.0,63,1,True,False,False,False,True
76.0,127,1,False,True,False,False,True
58.0,68,1,False,True,False,False,True
28.0,61,1,True,False,False,False,True
19.0,85,1,True,False,False,False,True
36.0,107,1,False,True,False,False,True
69.0,169,0,False,True,True,False,False
31.0,86,1,False,True,False,False,True
78.0,128,1,False,True,False,False,True
26.0,104,1,False,True,False,False,True
21.0,61,1,True,False,False,False,True
56.0,43,1,False,True,False,False,True
76.0,162,1,False,True,False,False,True
39.0,139,0,True,False,True,False,False
48.0,67,0,True,False,False,False,True
67.0,85,1,False,True,False,False,True
43.0,140,1,True,False,False,False,True
58.0,136,1,False,True,True,False,False
67.0,47,0,True,False,False,False,True
61.0,55,1,False,True,False,False,True
49.0,67,1,False,True,False,False,True
54.0,21,1,False,True,False,False,True
37.0,91,1,False,True,False,False,True
43.0,140,1,False,True,True,False,False
52.0,166,0,False,True,False,True,False
51.0,177,0,True,False,False,False,True
62.0,82,0,True,False,False,False,True
51.0,127,1,False,True,True,False,False
66.0,169,0,True,False,False,False,True
54.0,178,0,True,False,False,False,True
70.0,129,0,False,True,True,False,False
44.0,162,0,True,False,False,False,True
59.0,49,0,True,False,False,False,True
54.0,59,1,False,True,False,False,True
18.0,3,0,True,False,False,False,True
19.0,70,1,True,False,False,False,True
19.0,68,1,True,False,False,False,True
36.0,69,1,False,True,False,False,True
27.0,93,1,False,True,False,True,False
18.0,95,1,True,False,False,False,True
58.0,43,1,False,True,True,False,False
36.0,13,0,True,False,False,False,True
47.0,69,1,False,True,False,False,True
52.0,77,1,False,True,False,False,True
35.0,44,1,False,True,False,False,True
29.0,83,1,True,False,False,False,True
32.0,94,1,False,True,False,False,True
72.0,127,1,False,True,True,False,False
71.0,122,1,False,True,False,False,True
49.0,77,1,False,True,False,False,True
77.0,180,1,False,True,False,False,True
21.0,119,1,False,True,True,False,False
29.0,109,0,True,False,True,False,False
19.0,65,1,True,False,False,False,True
63.0,192,0,True,False,False,True,False
24.0,100,1,False,True,False,False,True
66.0,125,0,True,False,False,False,True
23.0,103,1,False,True,False,False,True
45.0,87,0,True,False,False,False,True
30.0,110,1,False,True,False,False,True
72.0,156,0,True,False,True,False,False
79.0,96,0,False,True,True,False,False
46.0,92,1,False,True,False,False,True
69.0,116,1,True,False,True,False,False
55.0,146,0,True,False,False,True,False
27.0,37,1,True,False,False,False,True
25.0,170,1,True,False,True,False,False
38.0,119,0,True,False,False,False,True
39.0,109,0,True,False,False,False,True
76.0,155,1,False,True,False,False,True
34.0,103,1,False,True,True,False,False
57.0,117,0,True,False,False,False,True
23.0,76,1,True,False,False,False,True
58.0,50,1,False,True,False,False,True
17.0,59,0,True,False,False,False,True
47.0,131,0,True,False,True,False,False
41.0,130,0,False,True,True,False,False
59.0,29,1,False,True,False,False,True
19.0,141,1,False,True,False,False,True
53.0,59,1,False,True,False,False,True
44.0,91,1,False,True,False,False,True
33.0,52,1,False,True,False,False,True
28.0,99,1,False,True,True,False,False
78.0,157,0,False,True,False,False,True
30.0,128,0,True,False,True,False,False
51.0,103,1,False,True,False,False,True
80.0,179,0,True,False,False,False,True
40.0,108,1,False,True,False,False,True
53.0,170,0,True,False,True,False,False
28.0,78,1,False,True,False,False,True
87.0,144,0,True,False,False,False,True
36.0,187,0,True,False,False,False,True
20.0,96,1,True,False,False,False,True
37.0,122,0,False,True,True,False,False
55.0,134,0,False,True,False,True,False
72.0,127,1,False,True,True,False,False
36.0,114,1,False,True,True,False,False
34.0,106,1,False,True,False,False,True
41.0,96,1,False,True,False,False,True
17.0,83,1,True,False,False,False,True
30.0,95,1,False,True,False,False,True
17.0,106,1,False,True,False,False,True
83.0,132,0,True,False,False,False,True
18.0,88,1,False,True,True,False,False
28.0,43,1,False,True,False,False,True
26.0,87,1,False,True,True,False,False
33.0,172,0,True,False,False,False,True
21.0,105,1,False,True,False,False,True
55.0,126,0,True,False,True,False,False
68.0,163,1,False,True,True,False,False
29.0,70,1,True,False,False,False,True
32.0,131,1,False,True,False,False,True
57.0,136,0,False,True,True,False,False
63.0,104,0,True,False,False,False,True
47.0,165,0,True,False,True,False,False
31.0,132,0,True,False,False,False,True
27.0,54,0,True,False,True,False,False
18.0,73,0,True,False,True,False,False
51.0,137,0,True,False,False,False,True
17.0,57,1,False,True,False,False,True
48.0,122,1,False,True,False,False,True
25.0,83,1,False,True,False,False,True
42.0,133,0,True,False,True,False,False
42.0,139,0,True,False,False,False,True
47.0,90,1,False,True,True,False,False
45.0,130,0,True,False,True,False,False
49.0,161,1,True,False,False,False,True
34.0,78,1,False,True,False,False,True
39.0,17,0,True,False,False,False,True
29.0,87,0,True,False,False,False,True
32.0,171,1,True,False,True,False,False
25.0,88,1,False,True,True,False,False
21.0,45,1,False,True,False,False,True
57.0,168,0,True,False,True,False,False
64.0,127,0,True,False,False,False,True
51.0,117,0,True,False,True,False,False
24.0,55,1,False,True,False,False,True
60.0,96,1,False,True,False,False,True
35.0,77,1,False,True,False,False,True
54.0,100,1,False,True,False,False,True
55.0,141,0,True,False,True,False,False
40.0,41,1,False,True,True,False,False
91.0,109,1,False,True,False,False,True
40.0,108,1,True,False,True,False,False
51.0,133,1,False,True,True,False,False
46.0,110,0,True,False,False,False,True
54.0,159,0,False,True,True,False,False
17.0,87,1,True,False,False,False,True
21.0,124,0,True,False,False,True,False
18.0,111,1,True,False,False,False,True
20.0,83,1,True,False,False,False,True
27.0,111,1,False,True,True,False,False
28.0,129,1,False,True,False,False,True
44.0,156,0,True,False,False,False,True
21.0,42,1,False,True,False,False,True
32.0,36,0,False,True,True,False,False
37.0,128,0,True,False,True,False,False
18.0,143,1,False,True,True,False,False
89.0,138,0,True,False,False,False,True
41.0,85,1,False,True,False,False,True
72.0,115,1,False,True,True,False,False
29.0,118,0,True,False,False,True,False
46.0,69,1,False,True,False,False,True
61.0,144,0,True,False,True,False,False
45.0,96,1,False,True,False,False,True
51.0,45,1,False,True,False,False,True
74.0,68,1,True,False,False,False,True
48.0,33,0,False,True,False,False,True
28.0,42,1,False,True,True,False,False
46.0,65,0,True,False,False,False,True
32.0,127,0,True,False,False,False,True
53.0,154,0,True,False,True,False,False
57.0,123,1,False,True,False,False,True
22.0,98,1,False,True,True,False,False
49.0,116,1,False,True,False,False,True
63.0,116,1,False,True,False,False,True
90.0,15,1,False,True,False,False,True
57.0,166,1,False,True,False,True,False
28.0,85,1,True,False,False,False,True
17.0,149,1,True,False,True,False,False
50.0,154,1,False,True,True,False,False
51.0,90,1,False,True,False,False,True
74.0,33,0,True,False,False,False,True
73.0,139,0,True,False,False,False,True
52.0,147,1,False,True,True,False,False
52.0,135,0,True,False,False,False,True
19.0,1,1,False,True,False,False,True
54.0,142,1,False,True,True,False,False
26.0,72,1,False,True,False,False,True
25.0,164,1,True,False,False,True,False
42.0,114,1,False,True,False,False,True
34.0,80,1,False,True,False,False,True
19.0,46,0,True,False,False,False,True
27.0,46,0,True,False,True,False,False
81.0,78,1,False,True,False,False,True
32.0,151,0,True,False,False,True,False
70.0,93,1,False,True,True,False,False
23.0,78,0,True,False,False,False,True
17.0,36,1,True,False,False,False,True
19.0,71,1,False,True,True,False,False
27.0,92,1,True,False,False,False,True
57.0,148,0,True,False,False,False,True
57.0,117,1,False,True,False,False,True
67.0,145,1,False,True,True,False,False
63.0,86,0,True,False,False,True,False
40.0,147,0,True,False,False,False,True
58.0,152,0,True,False,False,False,True
23.0,67,1,False,True,True,False,False
76.0,133,0,False,True,False,False,True
73.0,141,1,True,False,True,False,False
40.0,90,0,True,False,True,False,False
33.0,108,1,False,True,False,False,True
54.0,76,1,False,True,False,False,True
17.0,25,1,True,False,False,False,True
51.0,157,1,False,True,True,False,False
48.0,159,1,True,False,False,False,True
43.0,80,1,False,True,False,False,True
36.0,101,0,False,True,False,False,True
22.0,38,1,True,False,False,False,True
62.0,85,1,False,True,False,False,True
43.0,117,1,False,True,False,False,True
42.0,55,1,True,False,False,False,True
22.0,16,1,False,True,True,False,False
64.0,76,0,False,True,False,False,True
34.0,115,1,False,True,False,True,False
42.0,131,0,True,False,False,False,True
19.0,167,0,True,False,True,False,False
36.0,74,1,False,True,False,False,True
39.0,39,1,False,True,False,False,True
83.0,127,1,False,True,False,False,True
28.0,93,1,True,False,False,False,True
68.0,129,1,False,True,True,False,False
48.0,71,1,False,True,False,False,True
60.0,114,0,True,False,False,False,True
76.0,105,0,False,True,False,False,True
50.0,139,0,True,False,False,True,False
21.0,96,1,True,False,False,False,True
46.0,176,1,True,False,False,False,True
35.0,28,1,True,False,False,False,True
27.0,82,1,False,True,False,True,False
39.0,76,1,False,True,False,False,True
61.0,71,1,False,True,False,False,True
20.0,118,1,True,False,False,False,True
22.0,35,1,True,False,False,False,True
53.0,141,0,True,False,False,False,True
20.0,26,1,False,True,True,False,False
52.0,85,1,False,True,False,False,True
36.0,93,1,False,True,False,False,True
52.0,139,0,True,False,False,False,True
28.0,57,1,False,True,False,False,True
32.0,86,1,False,True,False,False,True
18.0,64,1,True,False,False,False,True
22.0,94,0,True,False,False,True,False
81.0,132,1,False,True,False,False,True
52.0,98,0,True,False,True,False,False
76.0,162,0,True,False,False,False,True
43.0,73,1,False,True,False,False,True
23.0,99,1,False,True,False,False,True
34.0,151,1,False,True,False,False,True
38.0,117,1,True,False,False,False,True
33.0,118,0,True,False,False,False,True
48.0,97,1,False,True,True,False,False
41.0,119,1,False,True,True,False,False
78.0,131,1,False,True,False,False,True
51.0,102,1,True,False,False,False,True
42.0,73,1,False,True,False,False,True
72.0,160,1,False,True,True,False,False
20.0,123,1,True,False,True,False,False
69.0,153,1,False,True,True,False,False
37.0,150,1,False,True,True,False,False
45.0,154,0,True,False,False,False,True
77.0,164,0,True,False,False,False,True
79.0,149,1,False,True,False,False,True
44.0,73,1,False,True,False,False,True
30.0,76,1,False,True,True,False,False
50.0,122,1,True,False,True,False,False
57.0,172,0,False,True,True,False,False
42.0,52,0,False,True,False,False,True
64.0,146,0,True,False,True,False,False
50.0,74,0,True,False,True,False,False
28.0,71,1,False,True,True,False,False
50.0,37,1,False,True,True,False,False
41.0,93,0,True,False,False,False,True
64.0,160,0,True,False,False,False,True
81.0,91,0,True,False,False,False,True
48.0,114,0,True,False,True,False,False
84.0,122,1,False,True,False,False,True
29.0,103,1,False,True,False,False,True
42.0,109,0,True,False,False,False,True
40.0,174,0,True,False,False,False,True
79.0,129,1,False,True,False,False,True
24.0,158,0,True,False,False,True,False
17.0,121,1,True,False,False,False,True
18.0,74,1,False,True,False,False,True
45.0,61,1,False,True,False,False,True
51.0,120,1,False,True,True,False,False
17.0,101,1,False,True,False,False,True
74.0,143,0,True,False,False,False,True
35.0,155,0,True,False,False,False,True
24.0,67,1,False,True,False,False,True
58.0,66,1,False,True,False,False,True
45.0,125,0,True,False,False,False,True
76.0,133,0,True,False,True,False,False
58.0,75,1,True,False,True,False,False
33.0,50,1,False,True,False,True,False
81.0,204,1,False,True,True,False,False
20.0,79,1,True,False,False,False,True
52.0,140,1,False,True,True,False,False
22.0,100,1,False,True,True,False,False
18.0,84,1,True,False,False,False,True
17.0,54,1,True,False,False,False,True
29.0,69,1,True,False,False,False,True
72.0,151,0,True,False,False,False,True
39.0,106,1,False,True,True,False,False
33.0,13,1,False,True,False,True,False
52.0,124,1,False,True,False,False,True
62.0,67,1,False,True,False,False,True
17.0,65,1,False,True,False,False,True
30.0,93,1,True,False,False,False,True
30.0,122,1,True,False,False,False,True
59.0,119,0,True,False,True,False,False
40.0,43,0,True,False,True,False,False
51.0,36,0,True,False,False,False,True
30.0,73,1,False,True,False,False,True
54.0,128,1,False,True,True,False,False
39.0,38,1,False,True,False,False,True
37.0,120,0,True,False,False,True,False
43.0,140,1,True,False,True,False,False
42.0,175,0,False,True,True,False,False
36.0,88,1,False,True,False,False,True
43.0,144,1,False,True,True,False,False
30.0,60,1,True,False,False,False,True
38.0,138,0,True,False,False,False,True
67.0,85,0,True,False,False,False,True
18.0,78,1,False,True,False,False,True
71.0,157,0,False,True,True,False,False
45.0,106,1,False,True,False,True,False
59.0,168,0,True,False,False,False,True
39.0,23,0,True,False,False,False,True
70.0,123,1,False,True,True,False,False
31.0,61,1,False,True,True,False,False
91.0,133,1,False,True,False,False,True
59.0,57,1,False,True,False,False,True
47.0,85,1,False,True,False,False,True
56.0,162,0,True,False,False,False,True
44.0,119,1,False,True,True,False,False
78.0,137,0,False,True,False,False,True
35.0,156,0,True,False,False,False,True
27.0,28,1,False,True,False,False,True
57.0,143,1,False,True,True,False,False
53.0,52,1,False,True,False,False,True
90.0,109,1,True,False,False,False,True
32.0,23,0,False,True,False,False,True
41.0,103,0,True,False,True,False,False
47.0,117,0,True,False,False,False,True
90.0,123,1,False,True,False,False,True
72.0,127,1,False,True,True,False,False
42.0,150,1,False,True,True,False,False
59.0,146,1,False,True,False,True,False
29.0,62,1,True,False,True,False,False
39.0,68,1,False,True,False,False,True
41.0,100,1,True,False,False,True,False
28.0,151,0,True,False,True,False,False
72.0,19,0,True,False,False,False,True
45.0,105,1,True,False,False,True,False
26.0,29,1,True,False,False,False,True
29.0,30,1,True,False,False,False,True
28.0,82,1,True,False,False,False,True
40.0,47,1,False,True,False,False,True
85.0,112,1,False,True,False,False,True
50.0,53,1,True,False,False,False,True
21.0,74,1,False,True,False,False,True
76.0,62,1,True,False,True,False,False
84.0,114,0,True,False,False,False,True
49.0,107,0,True,False,False,False,True
39.0,126,0,True,False,True,False,False
17.0,70,1,False,True,False,False,True
54.0,183,0,True,False,False,False,True
64.0,43,1,False,True,True,False,False
32.0,66,1,False,True,True,False,False
35.0,55,1,False,True,True,False,False
34.0,56,1,False,True,True,False,False
33.0,112,0,True,False,False,False,True
22.0,69,1,False,True,False,False,True
73.0,100,0,True,False,False,True,False
39.0,108,1,False,True,False,False,True
47.0,90,0,True,False,True,False,False
26.0,21,1,True,False,False,False,True
67.0,113,1,False,True,True,False,False
